latitude,longitude,name,por_nod,por,cod,has,has_nod,prov
36.905562200,-5.172534500,Alcala Del Valle,11,"0,11",11002,"36,03",36,Cádiz
37.269794900,-4.541761500,Benamejí,121,"1,21",14010,"405,27",405,Córdoba
37.274504800,-4.488345800,Encina Reales,44,"0,44",14024,"147,41",147,Córdoba
37.257191600,-4.307079300,Iznajar,35,"0,35",14037,"116,71",117,Córdoba
37.412973700,-4.496086400,Lucena,19,"0,19",14038,"63,43",63,Córdoba
37.248164000,-4.583723900,Palenciana,28,"0,28",14048,"92,95",93,Córdoba
37.366040400,-4.377070400,Rute,9,"0,09",14058,"30,32",30,Córdoba
36.994040000,-4.008256300,Alhama de Granada,3,"0,03",18014,"8,52",9,Granada
37.166189700,-4.149075000,Loja (Granada),32,"0,32",18123,"108,62",109,Granada
37.208789200,-4.655192300,Alameda,666,"6,66",29001,"2235,71",2236,Málaga
36.994367700,-4.259294400,Alfarnate,1,"0,01",29003,"3,2",3,Málaga
37.001754600,-5.022797000,Almargen,17,"1,7",29010,"572,04",572,Málaga
36.828836000,-4.541144300,Almogía,36,"0,36",29011,"120,99",121,Málaga
36.824962800,-4.705768700,Álora,42,"0,42",29012,"142,13",142,Málaga
37.020001000,-4.559367600,Antequera,4247,"42,47",29015,"14264,65",14265,Málaga
37.095015100,-4.381396700,Archidona,851,"8,51",29017,"2858,48",2858,Málaga
36.877717500,-4.846230300,Ardales,49,"0,49",29018,"163,15",163,Málaga
37.049202700,-4.863732100,Campillos,969,"9,69",29032,"3254,65",3255,Málaga
36.953419400,-5.025397700,Cañete la Real,3,"0,03",29035,"11,57",12,Málaga
36.894607700,-4.429784800,Casabermeja,2,"0,02",29039,"7,13",7,Málaga
36.904838700,-4.336741600,Colmenar,79,"0,79",29043,"264,22",264,Málaga
37.234498700,-4.487058000,Cuevas Bajas,14,"1,4",29047,"471,55",472,Málaga
37.267269000,-4.414350800,Cuevas de San Marcos,15,"1,5",29049,"504,61",505,Málaga
37.134160800,-4.730986500,Fuente de Piedra,5,"0,05",29055,"18,41",18,Málaga
37.113842500,-4.703829300,Humilladero,148,"1,48",29059,"495,85",496,Málaga
37.124836400,-4.657596800,Mollina,362,"3,62",29072,"1215,41",1215,Málaga
36.717677900,-4.280396000,Rincon de la Victoria,3,"0,03",29082,"10,72",11,Málaga
37.123906900,-4.868918900,Sierra de Yeguas,13,"0,13",29088,"42,35",42,Málaga
36.983329300,-4.918866500,Teba,547,"5,47",29089,"1837,63",1838,Málaga
36.685217700,-4.905239900,Tolox,31,"0,31",29090,"105,44",105,Málaga
36.931189000,-4.683147200,Valle de Abdalajís,7,"0,07",29093,23,23,Málaga
36.779922800,-4.100558900,Velez-Malaga,0,0,29094,"1,32",1,Málaga
37.183798800,-4.449727000,Villanueva de Algaidas,53,"5,3",29095,"1781,31",1781,Málaga
36.998200600,-4.366148300,Villanueva del Rosario,166,"1,66",29096,"556,92",557,Málaga
37.027944700,-4.338557500,Villanueva del Trabuco,328,"3,28",29097,"1102,44",1102,Málaga
37.183053200,-4.334358400,Villanueva de Tapia,22,"0,22",29098,"72,73",73,Málaga
36.930378100,-4.530858500,Villanueva de la Concepción,3,"0,03",29102,"9,23",9,Málaga
37.016338800,-5.149121000,Algámitas,2,"0,02",41008,"6,33",6,Sevilla
37.100339100,-4.985749600,Los Corrales,3,"0,03",41037,"9,58",10,Sevilla
37.201338500,-4.778637800,La Roda de Andalucía,45,"0,45",41082,"152,58",153,Sevilla
37.074190800,-5.097616100,El Saucejo,41,"0,41",41090,"139,03",139,Sevilla
